软件开发工程师,10001-15000,广州市永智通信科技有限公司,广州,...PYTHON 2或3开发经验，具备JAVA或RUBY开发经验；     4．具备阅读GITHUB等开源社区原文文档的能力；    5．符合如下条件之一者优先考虑：    1）熟悉NFV/SDN；    2）熟悉RAILS；    3）熟悉Openstack。
特效师/影视特效师,4001-6000,广州圣典广告有限公司,广州,"...Python语言者优先； 5、具有相当的综合能力,能够综合应用多种软件制作和合成特殊效果；  6、学习能力强，热爱影视行业，工作积极主动,勇于面对挑战,能适应工作压力"
高级Java开发工程师,15001-20000,广州合摩计算机科技有限公司,广州,...Python等脚本编码和  软件开发  等；    9  、精通Java及Web的开发和应用，熟悉HTML和JSP，对CSS、jvm、Servlet、JavaScript有一定了解，熟悉Nginx/Tomcat/JBoss等服务器，有大规模高并发访问的Web应用系统  设计和开发...
高级前端工程师A,10001-15000,广州万策软件科技有限公司,广州,"...Python）开发经验优先, 开发过WAP应用或微信应用者优先；  6、有英文沟通能力优先"
数据挖掘,4001-6000,广州赢石网络科技有限公司,广州,岗位职责：  1.对接日常数据查询业务；  2.配合参与数据库基础算法编写；  3.配合参与KAFFA框架测试；  任职要求：  1、有相关互联网数据工作经验；  2、熟悉常用的数据挖掘算法和模型，有数据算法有良好的理解； 3、熟悉MYSQL、PYTHON、SPARK者优先；
网站后台开发工程师  后端  PHP,面议,广州市星孚信息科技有限公司,广州,...python任一种，可进行独立后台应用开发；  4、熟悉多进程/多线程应用开发；  5、熟悉W3C标准，擅长Html5、CSS3、JavaScript、jQuery 、Ajax、XML等Web开发技术；  6、熟悉MySQL/SQL Server或oracle数据库；  7、善于...
Web后台开发工程师,8001-10000,广东星辉天拓互动娱乐有限公司,广州 - 天河区,岗位职责：  1.开发和维护网页游戏业务Web后台。 2.统计网页游戏业务数据。     任职要求：  1.了解Linux，熟悉Python及其常用库。 2.熟悉MySQL。 3.良好的沟通能力和团队合作精神。 4.有阅读英文文档并解决工作中遇到的问题的能力。 5.对互联网有浓厚的兴...
高级运维工程师,8001-10000,广州中康医药资讯有限公司,广州 - 天河区,"...python等脚本语言的一种并有相关开发经验者优先。  5、熟悉linux下apache、Nginx、mysql、php、memcache、tomcat等常见服务器环境架设,能够快速部署、配置及排错。  6、熟悉LVS/HAproxy、Nginx等开源负载均衡软件部署和优化。  ..."
系统运维工程师,10001-15000,广州万策软件科技有限公司,广州,"...python, php, powershell等开发语言一种以上；  4.      熟悉大型网站架构及优化，熟悉分布式系统，大型数据库，缓存，队列等技术原理；  5.      学习能力强，肯钻研，认真踏实；  6.      有良好的时间观念，责任感，能很好的沟通交流，热爱分..."
WEB前端开发工程师,4001-6000,广州城市信息研究所有限公司,广州 - 天河区,...Python、Ruby或NodeJS等服务器端技术中的一种并有实际应用经验的优先
大数据平台开发工程师,15001-20000,广州多益网络股份有限公司,广州,...Python等语言，熟悉大数据策略算法；  5.具备良好的系统分析能力，解决问题能力。
Web前端开发高级工程师,20001-30000,广东美的制冷设备有限公司,广州,...Python/Ruby 等），并有一定的实战经验；   8、对前后端的协作模式、产品和项目流程有深入理解，   9、开源爱好者、有技术博客、有艺术类爱好这优先考虑。  10、本科以上学历；  11、该职位工作地点位于：佛山美的总部
门禁系统软件工程师-双休+五险一金,面议,广州中科诺泰技术有限公司,广州 - 天河区,...Python/Java编程经验，或有JavaScript/AJAX技术方面的编码技能； 4.	至少熟悉三种以上的门禁设备； 5.	能独立开发、调试解决相关的技术问题； 6.	有较好的学习沟通能力以及责任心与较强的团队合作意识；  7.	有实际的B/S开发或门禁行业经验者优先。  ...
Linux运维工程师,8001-10000,广东医群科技有限公司,广州,...Python， Lua 脚本语言其中二者以上 8.具有强烈的责任心和工作主动性 9.具有一定的英语读写能力 CET4 以上  名医传世是医院培训整体解决方案的提供商，解决医院培训的不规范、零乱不系统、重复性培训等问题，还解决严重存在医护人员技能提升培训渠道不通畅、成本高等问题。 ...
高级测试工程师,15001-20000,广州合摩计算机科技有限公司,广州,...Python等使用经验者优先；；  5、具备丰富的自动化测试和性能测试的设计和应用经验，参与过大型后台系统的自动化和性能测试，并对自动化和性能测试有全面深刻的理解；  6、具备优秀的发现问题、分析问题、解决问题的能力，有强烈的责任心和积极主动的工作态度，能带领团队高效达成目标。 ...
生物信息工程师（Wed前端开发）,8001-10000,广州金域医学检验中心有限公司 ,广州,工作职责： 1、基因数据库的web前端开发 2、实现数据库的高度可视化及便捷化管理。  任职资格： 1、本或以上学历，生物信息学或计算机相关专业学历。有生物信息专业工作经历优先录用； 1. 能够熟练使用java、C++、C#、ruby、perl、python等一种或者几种语言。 2....
中级C++工程师,6001-8000,广州市聚星源科技有限公司,广州,...python。  5、具有强烈的上进心，学习能力、理解沟通能力！
游戏客户端开发工程师,10001-15000,广州多益网络股份有限公司,广州,岗位职责：  负责pc、手机等多种平台下的游戏客户端脚本开发。  任职要求：  必要条件：  1.本科及以上学历；  2.至少熟悉一种编程语言（C/C++/Java/Python等），熟悉多种编程语言者更佳；  3.热爱工作，可以承受高强度的工作压力；  4.热爱学习新技术；  5....
自然语言处理研发工程师,15001-20000,广州多益网络股份有限公司,广州,岗位职责：  负责自然语言处理研究工作；  负责问答项目问题理解、语义分析、答案推理计算等研发工作。  任职要求：  1.计算机相关专业毕业，本科及以上学历，具有三年以上相关工作经验；  2.精通C/C++/Python编程语言，熟悉各种机器学习相关算法；  2.问题解决能力强，有责...
运维工程师,8001-10000,广州多益网络股份有限公司,广州,...python脚本优先；  2.有2年以上大型网络游戏经历者优先。
SEO工程师,6001-8000,广州太平洋电脑信息咨询有限公司,广州,...Python等优先； 6、考虑有相关实习经验的应届毕业生。
系统运维工程师,10001-15000,广州万策软件科技有限公司,广州,"...python, php, powershell等开发语言一种以上；  4.      熟悉大型网站架构及优化，熟悉分布式系统，大型数据库，缓存，队列等技术原理；  5.      学习能力强，肯钻研，认真踏实；  6.      有良好的时间观念，责任感，能很好的沟通交流，热爱分..."
广告平台工程师（PHP+Linux）,6001-8000,优游互动有限公司,广州 - 天河区,岗位职责：    1.负责移动广告产品功能开发    2.参与移动广告平台的相关算法和模型的开发与优化    3.分析海量数据，为产品运营提供精准有效的数据分析    4.优化流程，打造自动化业务支撑系统    任职资格:    1.两年以上PHP、Python或C++开发经验   ...
广告平台工程师（PHP+Linux）,6001-8000,优游互动有限公司,广州 - 天河区,岗位职责：    1.负责移动广告产品功能开发    2.参与移动广告平台的相关算法和模型的开发与优化    3.分析海量数据，为产品运营提供精准有效的数据分析    4.优化流程，打造自动化业务支撑系统    任职资格:    1.两年以上PHP、Python或C++开发经验   ...
专/兼职技术讲师(可周末）,20001-30000,北京中科信软科技有限公司,广州,"...python,perl,ruby讲师 11.商业智能,数据仓库，spss,sas数据挖掘讲师，数据分析讲师．  12.大数据，hadoop,云计算讲师．vmware．虚拟化讲师 13.软件测试，qtp,loadrunner.软件安全测试，需求分析讲师，配置管理培训讲师，质量管理．..."
Linux应用开发,10001-15000,溢思得瑞科技创新集团,广州 - 天河区,...Python等至少一种脚本语言  3.熟悉NFS，DNS，SSH，MYSQL等应用，了解工作原理  4.具有加密、解密以及安全防护相关的经验者优先  5.有强烈的上进心和求知欲，善于学习和运用新知识，善于沟通和逻辑表达，有强烈的团队意识和执行力
高薪定制Linux运维师,4001-6000,芜湖达内软件科技有限公司,广州,岗位职责：  1、计算机及相关专业专科以上学历；  2、深入理解LINUX系统，一年以上基于LINUX/UNIX平台的系统运维经验；  3、熟练使用LINUX下各种常用命令，能够独立编写shell脚本；  4、至少熟悉如下一种脚本语言，如：perl、python等；  5、熟练掌握n...
IC工程师（数字部分）,面议,珠海格力电器股份有限公司 ,广州,岗位职责:   1、2年以上工作经验，微电子或相关专业本科以上学历； 2、熟练使用一种主流P&R流程工具（Synopsys、Cadence、Mentor或Magma的相关P&R工具； 3、具备扎实的时序收敛与signoff的技能； 4、熟练的脚本编写技能（Perl、Tcl或者...
